bangla,chakma
আমি কি করবো এখন?,মুই হি গুরিম এককুনু?
আমি তোমার টাকা চাই না । মারভিন।,"মুই তর টেঙা ন চাং , মারভিন।"
ম্যাক্স । আমাদের এখন একটা নিজস্ব সুইমিং পুল আছে। আর একটা হট টাব আছে। আর অনেক অনেক মজার খেলনা আছে।,"ম্যাক্স, আমার এক্কুনু এক্কান নিজস্ব সুইমিং পুল আগে। আর এক্কান হট টাব আগে। আর অনেক মজার খেলনা আগে ।"
ওসব দিয়ে খেলতে চাও না?,সিয়ানি দিনেই হেলেবার চাজ নাহি?
অনেক মজা হবে।,বজমান মজা অহব।
কি হলো?,হি অলো?
ও আমার সাথে কথাও বলতে চায় না । আর এজন্য অনেক ধন্যবাদ । চার্লি।,"তে মর লগে কথাও হোবার ন চায়, আর সেনত্তাই বজমান ধন্যবাদ, চার্লি।"
আমি গাড়িতে অপেক্ষা করছি।,মুই গাড়িত বাচ্চে আগং।
বেশ । তুমি কথা বলতে না চাইলে । আমিই বলি।,"অইএ, তুই হদা হোবার ন চেলে , মুই হং।"
তুমি কি চাও ? আমি তোমার কাছে ক্ষমা চাই?,"তুই হি চান্স, মুই তর ইদু হেমা চাং?"
তুমি জানতে!,তুই হবর পেদে !
প্রথম দিন থেকেই জানতে এমনটা হবে।,পত্তম দিনত্তুন দুরি হবর পেদুং এদক্কি অব।
তুমি আমার সাথে আসতে চেয়েছিলে।,তুই মর লগে এবার চেইওজ।
কি ভাবছো তুমি? তুমি ? আমি আর তোমার ওই আবর্জনার রোবট মিলে ।,"হি ভাবপোজসি তুই ? তুই? , মুই আর তর ওই আবর্জনার রোবট মিলিনেই ।"
না ! তুমি ভুলে গেছো আসলে কে আমি!,"না, তুই ভুলিও যিওজ আসলে মুই হন্না !"
তুমি আরো ভালো কিছুর অংশীদার। আমার থেকে ভালো!,তুই আরো গম কিছুর অংশীদার। মত্তুন ভালো!
দয়া করে কিছুতো বলো?,হুজুলি গরঙর কিছুদ হ?
আমি ক্লান্ত ? আর পারছি না। বলো আমার কাছ থেকে তুমি কি চাও?,"মুই ক্লান্ত, আর নপারঙর । মত্তুন তুই হি চাজ হ?"
"""আমি চাই তুমি আমার হয়ে লড়ো।""।","মুই চাং তুই মর ওনেই লড়।""।"
আমি শুধু এটাই চাই।,মুই বানা ইয়ানই চাং।
কিছু জিজ্ঞাসা করো না।,হিজু পিজের নগুরিজ।
তো ম্যাক্স চলে গেছে।,তো ম্যাক্সএ যেয়েগোই।
হুম ভালোই হয়েছে।,হুম গম অইএ।
মার্ভ আর ডেব্রার টাকা আছে।,মার্ভ আর ডেব্রার টেঙা আগন।
ম্যাক্স ও ভালো থাকবে।,ম্যাক্স ও গম থেব।
তুমি দেখো নি ও কিভাবে তোমার দিকে তাকায়?,তুই নদেগজ তে হিঙিরি তর ইন্দি চায় ?
আমি আমার বাবার দিকে ওভাবে তাকাতাম।,মুই মর বাবা ইন্দি সিক্কে গুরি চেদুং
এখনো আমি ওই মুহুর্তগুলো ফিরে পাবার জন্য যেকোন কিছু করতে পারি।,এজ মুই সেই মুহুর্তগুন ফিরি পেবাত্তাই যেকোন কিছু গুরি পারিম ।
তোমার বাবা ছিলো স্পেশাল। তিনি তোমার জন্ম থেকেই তোমার পাশে ছিলেন।,তর বাবা স্পেশাল এলহ। তে তর জন্মত্তুন তর পাশে এলহ।
আমি এসবের তোয়াক্কাই করিনি।,মুই সিয়ানি পাত্তাই নগরং।
আমি শুধু পালিয়ে গেছি।,মুই বানা দেই যিওংগে।
যখন ম্যাক্স জন্ম নিলো ।,যেক্কে ম্যাক্স জন্ম ওইএ ।
কিন্তু একসময় না একসময় এমন পরিস্তিতি তো আসবে।,হিন্তু একসময় না একসময় এদিক্কি পরিস্তিতি দ এবহ।
না আমি জানি না।হ্যা । তুমি জানো।,"না মুই হবর নপাং ।হ্যা, তুই হবর পাজ ।"
জানি না।,হবর নপাং ।
তুমি জানো।,তুই হবর পাজ ।
তুমি জানো।,তুই হবর পাজ ।
আমাকে যেতে হবে।,মর যা পরিবু ।
১২ হাজার মাইল পারি দিয়েছো একটা চুমুর জন্যে!,১২ আজার মেইল দুরোত য এক্কু চুমুত্তাই !
এটার মুল্য অনেক!,ইয়ানর মুল্য অনেক!
ওকে গিয়ে নিয়ে আসো । চার্লি।,"তারে যেনেই আন্নোই , চার্লি।"
তোমার বাবার মতো কথা বলছো।,তর বাবার দক্কেন হদা হত্তে ।
আমার মনে হয় তুমি ভাবো আমি তোমাকে ছেড়ে পালিয়ে যাই। আসলে আমি সত্যিই পালিয়ে যাই।,মর মনে অত্তে তুই ভাবোজ মুই তরে ছাড়ি দেই যেম্বোই । আসলে মুই যদেপদে দেই যাংগোই ।
তারপর আবার বিক্রিও করে দিয়েছো।,তারপর আরো বিজি দুজসই।
চার্লি।,চার্লি।
এখানে তোমার কোন কাজ নেই। হ্যা এটা সত্যি।,ইয়ুত তর হন হাম নেই। অদে ইয়ান সত্যি।
ওর দায়িত্ব এখন তোমার কাধে। তুমিই ওর অভিভাবক।,তা দায়িত্ব এক্কুনু তর কানাত । তুই তা অভিভাবক।
আর আমি জানি আমি ওর উপর অনেক অন্যায় করেছি । কিন্তু যদি আমায় একটা সুযোগ যাও।,"আর মুই হবর পাং মুই তা উগুরে বজমান অন্যায় গুজ্জং , হিন্তু যুনি আমায় এক্কান সুযোগ দোজ ।"
আমি শুধু একটামাত্র সঠিক কাজ করতে পারি।,মুই বানা এক্কান ঠিক হাম গুরি পারং।
তো ? আমরা কোথায় ছিলাম?তুমি আমায় বিক্রি করে দিলে।,"তো, আমি হুদু এলং ?তুই মরে বেজি দিলে।"
হ্যা । ওটা ঘটে যায়।,"হ্যা, সিয়ান ঘদি যায়।"
থামো ? কি বললে?তারপর তোমার শত্রুর হাতে মাইর খাইছি।,"থামো, হি হলেদে ?তারপর তর শত্রুর আদোত মের হিওং।"
আর তুমি ট্রাকের শেলফে ঘুমিয়েছিলে । যেটা ভয়ঙ্কর।,"আর তুই ট্রাকের শেলফত ঘুম যিওজ , সিয়ান ভয়ঙ্কর।"
আর বিপদজনক। সত্যিই বিপদজনক।,আর বিপদজনক। যদেপদে বিপদজনক।
জানি । আমি জানি।,"হবর পাং , মুই হবর পাং ।"
আরে খোদা । আমি এসবের জন্য দুঃখিত।,"আরে খোদা, মুই এয়ানিত্তাই দুঃখিত।"
এজন্যই এখনে এসেছো?,সেনত্তাই এদু এসছোস ?
দুঃখ প্রকাশের জন্যে? না!,দুঃখ প্রকাশ গুরিবাত্তাই? না!
মানে । হ্যা।,"মানে, অদে।"
কিন্তু না। আমি এখানে এসেছি এটা বলতে । আমি তোমায় বুঝতে পেরেছি।,"হিন্তু না। মুই ইয়ুত ইয়ান হবাত্তাই এচ্ছুংগে , মুই তরে বুজছোং ।"
সব বুঝেছি । একটু ধীরে । কিন্তু সব ভুল বুঝতে পেরেছি।,"বেক বুঝেছোং , এক্কা আস্তে গুরি , হিন্তু বেক ভুলআনি বুজি পাজ্জজুং ।"
আমি জানি তোমাকে জীবনে অনেক কষ্ট পেতে হয়েছে । আমি তোমার পাশে ছিলাম না । আমার উচিত ছিলো তোমার পাশে থাকা।,"মুই হবর তর জিবনত বজমান কষ্ট পিওজ, মুই তর পাশে ন এলুং, মর উচিত এল তর পাশে থানা ।"
যদি থাকতে পারতাম।,যুনি তে পারিদুং ।
তোমার মা ছিলো ।,তর মামা এল ।
ভালো ? তাই না?,"ভগম, তাই না ?"
হ্যা সে ভালো ছিলো।,অদে তে গম এল ।
সবার চেয়ে ভালো।,বেক অত্তুন গম ।
হ্যা সবার শ্রেষ্ঠ।,অদে বেক উনত্তুন শ্রেষ্ঠ।
আমি অনুতপ্ত তার সাথে অনেক খারাপ হয়েছে।,মুই অনুতপ্ত তা লগে বজমান হারাপ অইএ ।
আর আমি তো আর ওসব ভুল শোধরাতে পাড়বো না । ম্যাক্স । কিন্তু এখন আমি সেটা চাই।,"আর মুই মুই আর ওসব ভুল শোধরে নপারিম , ম্যাক্স, হিন্তু এক্কুনু মুই সিয়ান চাং ।"
আর তুমি যদি চাও । আমি তোমার হয়ে লড়বো।,"আর তুই যুনি চাস , মুই তর ওই লড়িম ।"
আমরা জিউসের সাথে লড়াইয়ের অফার পেয়েছি।,আমি জিউসের লগে লড়াইয়ের অফার পিয়োং ।
কি?,কি?
না না না । আমরা না।,"না না না, আমি নয় ।"
তুমি জিউসের সাথে লড়াইয়ের অফার পেয়েছো।,তুই জিউসের লগে লড়াইয়র অফার পেইয়োছ।
তো ? কি বলো ডেব্রা?,"তো, হি হোজ ডেব্রা?"
এই শেষ কাজটা করতে পারি না?,এই সেজ হামান গুরি ন পারিই ?
এক রাত। এক রাত।,এক রাত। এক রাত।
ওই একটাই তো প্রয়োজন।,ওই এক্কানই দ প্রয়োজন।
জানি লড়াইয়ে আমাদের ধরা খেতেই হবে । কিন্তু আত্নবিশ্বাস নিয়েই রিং এ যাবো।,হবর পাং লড়াইয়ে আমার ধরা হা পরিবু হিন্তু আত্নবিশ্বাস আন্দোই রিং অত যেবং।
তো ? কি বলো?,"তো, হি বলো?"
নিউ ইয়র্কের বিং এরিয়ানাতে রিয়েল স্টিল চ্যাম্পিয়ানশিপ এ । সবাইকে স্বাগতম।,"নিউ ইয়র্কের বিং এরিয়ানাতে রিয়েল স্টিল চ্যাম্পিয়ানশিপ এ, বেক্কুনরে পাত্তুরু তুরু।"
বেশ টিম । এটা এমন একটা ফাইট যা হতে পারে । আমরা ধারনাও করি নি।,"বজমান গম টিম, ইয়ান এমন এক্কান ফাইট অই পারে, আমি ধারনাও ন গরিই।"
জিউস । অপরাজেয় WRB চ্যাম্পিয়ন । আন্ডারডগ উদবী তারকা এটম এর বিপক্ষে লড়বে।,"জিউস, অপরাজেয় WRB চ্যাম্পিয়ন, আন্ডারডগ উদবী তারকা এটম আগে বিপক্ষে লড়িবু ।"
কতৃপক্ষ রাজি হয়েছেন খ্যাতি সম্পন্ন লিগের বাইরের রোবটদের খেলার সুযোগ দিতে । এবং দর্শকদের হাতি বনাম পিঁপড়ের লড়াই উপভোগের সুযোগ করে দিয়েছে। ।,"কতৃপক্ষ রাজি অইএ খ্যাতি সম্পন্ন লিগের বাইরে রোবটতুনরে হেলানর সুযোগ দিবাত্তাই , আর দর্শকদের হাতি বনাম পিঁপড়ের লড়াই উপভোগর সুযোগ গুরি দিয়ে ।"
আচ্ছা টিম আমায় একটা কথা বুঝাও তো ? জিউসের দলের কি মাথা খারাপ হয়ে গেছে?,"আচ্ছা টিম মরে এক্কান হদা বুঝাদে , জিউস অর দলর কি মাথা হারাপ অইএ জেয়েগোই নাহি ?"
সর্বকালের সেরা রোবট বক্সার ? একটা G-2 রোবটের সাথে লড়ছে যার নাম এটম?,"সর্বকালের সেরা রোবট বক্সার, এক্কান G-2 রোবটের লগে লড়ছে যিয়ানর নামান এটম?"
বেশ । হার্ব । টাক মাশিডোর কথা যদি বলো । জিউস-টিমের আসলেই মাথা খারাপ হয়ে গেছে।,"বেশ, হার্ব, টাক মাশিডোর হদা যুনি হজ , জিউস-টিমর আসলেই মাথা হারাপ অই যিয়েগোই ।"
এখানে আসার সময় হয়তো তাকে শান্ত দেখাতে পারে । কিন্তু সে সত্যি এই ম্যাচের ব্যাপারে নাখোশ।,"ইয়ুত আসার সময়ত হয়তো তারে অলর দেগা যেই পারে, হিন্তু তে সত্য এই ম্যাচর ব্যাপারে নাখোশ।"
এক সপ্তাহ আগে আমাদের ক্যামেরায় তিনি বন্দী হয়েছেন। এই ভিডিও ক্লিপটা দেখুন।,এক সপ্তাহ আগে আমা ক্যামেরাত তে ধরাত পজ্জে । এই ভিডিও ক্লিপপু চা ।
মাশিডো তো প্রেসের সামনে একটা কথাও বলতে রাজি ছিলেন না । শুধু এটাই বুঝিছেয়েন এটা তার আবিষ্কারের অপমান।,"মাশিডো দ প্রেসর মুজুঙে এক্কান কদাও হদে রাজি ন এল , বানা ইয়ানই বুঝিইয়েদে ইয়ান তা আবিষ্কারর অপমান।"
কিন্তু হার্ব । সত্য হলো । ম্যাক্স কেন্টন । এটমের ট্রেইনার । জিউসকে চ্যালেঞ্জের থেকেও বেশী কিছু করেছে।,"হিন্তু হার্ব, সত্য হলো, ম্যাক্স কেন্টন, এটমের ট্রেইনার, জিউসকে চ্যালেঞ্জ অত্তুন বেশী হিজু গোজ্জে ।"
সে সবার সামনে তাকে চ্যালেঞ্জ করেছে।,তে বেককুনর মুজুঙত তারে চ্যালেঞ্জ গজ্জে ।
তাই চ্যালেঞ্জ ভিন্ন পথে হাটলো । মুলত আত্নমর্যাদা রক্ষায় জিউস এই ফাইট লড়ছে।,"সেনত্তে চ্যালেঞ্জ অন্য পদে গেল , মুলত আত্নমর্যাদা রক্ষায় জিউস এই ফাইটতো লড়ের ।"
তাতে কোন সন্দেহ নেই । টিম। আমার মনে হয় ।,"তাতে হন সন্দেহ নেই, টিম। মর মনে অত্তে ।"
অবশ্যই করেছে । মানে চিন্তা করো ওরা কারা।,"হামাক্কায় গুজ্জে , মানে চিদে গর তারা হন্না ।"
এভাবে একটা ছোট মোটো রোবটকে লড়াইয়ের সুযোগ দেয়া।,ইদুক্কিন এক্কান চিগোন মোটো রোবটরে লড়াইয়ের সুযোগ দেনা ।
"কোথাকার ""আবর্জনা""র সাথে লড়াই!","হন জাগার ""আবর্জনা""র লগে লড়াই!"
এসবই মার্কেটিং পলিসি।,ইয়ানি বেক মার্কেটিং পলিসি।
আর ভীড় দেখে মনে হচ্ছে । তাদের এই পলিসি ভালোই কাজে দিয়েছে।,"আর ভীড় চেনেই মনে অত্তে , তারা এই পলিসি দোলে হামদ লাক্কে ।"
আমরা জিততে পারবো না ? তাই না?,আমি জিদি নপারিবোং ? তাই না?
দেখা যাক।,দেগা যোক ।
চ্যালেঞ্জার এরিয়ানাতে প্রবেশ করছে । আর মানুষের উত্তেজনা কেমন । তা বোঝাই যাচ্ছে।,"চ্যালেঞ্জার এরিয়ানাতে ঢুগের , আর মানুজর উত্তেজনা কেমন, তা বুঝা যার ।"
এটম WRB এরিয়ানাতে প্রবেশ করলো দাপটের সাথেই । স্টাইলের সহিত । অনেকে বলবে মানুষের মতই । যেনো আসলে এটা মানুষের লড়াই।,"এটম WRB এরিয়ানাত ঢুগিলো দাপটর লগে, স্টাইলর লগে , অনেকে হোবাক মানজর দুক্কে , যেনো এই ইয়ান এক্কান মানজর লড়াই।"
এটম আর তার ছোট ট্রেইনার রিং এ প্রবেশ করছে।,এটম আর তা চিগোন ট্রেইনার রিং এ ঢুগদন।
আর ফারা লেমকোভার চেহাড়াই সব কিছুর ব্যখ্যা দিচ্ছে।,আর ফারা লেমকোভার চেহাড়াই বেক কিছুর ব্যখ্যা দের ।
রাজাদের মহলে স্বাগতম ! জুনিয়র!,"রাজাদের মহলত স্বাগতম, জুনিয়র!"
আমার কাছে বাজি ছাড়ছি এটম প্রথম রাউন্ডে কিছু করতে পারবে না।,মর ইদু বাজি ছাড়ছি এটম পত্তম রাউন্ডত হিজু গুরি ন পারিবো ।
এখন কে ধরতে চাও?,এক্কুনু হন্না দুরিবাত্তে চ?
আমিও ধরবো।,মুইও ধরিম ।
ওওওই মিয়া! আমিও ধরছি কিছু।,ওওওই মিয়া! মুইও ধরঙর কিছু।
তো কেমন মাল ধরবা পার্টনার?,তো হেজান মাল ধরবা পার্টনার?
পার্টনার? মজার!,পার্টনার? মজার!
আমি এক লাখের বাজি ধরবো?,মুই এক লাখের বাজি ধরিম ?
মজা লাগে?,মজা লাগে?
১০০ হাজার পাবে ।যদি এটমকে দ্বিতীয় রাউন্ডে খুজে পাওয়া না যায়।,"১০০ আজার পেব ,যদি এটমকে দ্বিতীয় রাউন্ডে তোগে সুপ পা নজায় ।"
এই ধরনের মাল পানি নিয়া ঘুরো তুমি?,এই বাওত্তে মালপানিলোই ঘুরচ্ছি তুই ?
- হ্যা।,- অদে ।
- 100K?,- 100K?
শুনে রাখো আমি আছি। সেকশন ১০১। সারি ৩।,শুনি রাগা মুই আগং । সেকশন ১০১। সারি ৩।
আমার টাকা আমার সিটে গিয়ে দিয়ে আসিয়ো।,মর টেঙা মর সিটত যেনেই দি এচ্চোই ।
সেকশন ১০১ ? সারি ৩ ??,"সেকশন ১০১, সারি ৩,?"
100k?,100k?
হ্যা সেটাই ? বয়রা!বয়রা?,"অদে সিয়ান , বয়রা!বয়রা?"
- হুম?,- হুম?
বয়রা!,বয়রা!
আচ্ছা! শান্তি বজায় রাখুন।,আচ্ছা! শান্তি গুরি থাক ।
আসো । সোনা। আসো।,"আই , সোনা। আই ।"
- অপারাজেয়।,- অপারাজেয়।
- শোটাইম!,- শোটাইম!
কাউকেভয়পায়না।,হাররে নদোরেজ ।
রিং এর কিং।,রিং আগে কিং।
সব রোবটদের শাসনকর্তা!,বেক রোবটদের শাসনকর্তা!
মহান জিউসের কাছে মাথা নত হবে!,মহান জিউসের ইদু মাথা নত অভ !
শিট!,শিট!
ফাটাফাটি স্টাইল ছিলো।,ফাটাফাটি স্টাইল এলহ ।
ভদ্রোমহোদয় ও মহোদয়াগন।,ভদ্রোমহোদয় ও মহোদয়াগন।
এই লড়াইয়ের সময়সুচি পঞ্চম রাউন্ড অব্দী। আজকের এই ওয়ার্ল্ড রোবট বক্সিং চ্যাম্পিয়ানশিপ এ।,এই লড়াইয়ের সময়সুচি পঞ্চম রাউন্ড সং । এইচ্ছের এই ওয়ার্ল্ড রোবট বক্সিং চ্যাম্পিয়ানশিপ এ।
আমার ডানে আছে চ্যালেঞ্জার ! এটম!,"মর ডেনেদি আগে চ্যালেঞ্জার, এটম!"
শোবোট!,শোবোট!
আর আমার বায়ে আছে। এই ইউনিভার্সের স্বীকৃত চ্যাম্পিয়ান অথবা অন্যান্য সকল ইউনিভার্সে যেসব আমরা চিনি।,আর মর বামে আগে । এই ইউনিভার্সর স্বীকৃত চ্যাম্পিয়ান অথবা অন্যান্য বেক ইউনিভার্সত যিয়ানি আমি চিনিই ।
তো ? দর্শকমন্ডলী ? আপনারা তৈরি তো? রিয়েল স্টিলের জন্য!,"তো, দর্শকমন্ডলী, তুমি রেডি দ ? রিয়েল স্টিলের জন্য!"
তো শুরু হয়ে গেলো!,তো শুরু ওই গেলো!
ওই যে শুরুর ঘন্টা । আর খেলাও শুরু।,"উইয়ো শুরুর ঘন্টা, আর খেলাও শুরু।"
রোবটরা পরষ্পরের দিকে এগিয়ে যাচ্ছে।,রোবটতুন এক্কু আরেক্কু ইন্দি আগেই যার ।
জিউস কষে একটা থাপ্পড় মারলো এটম ! আর তাতেই সে অজ্ঞান!,"জিউস কষে এক্কান চুগোর মাজ্জে এটম, আর সিয়ান্নোই তে অজ্ঞান!"
দাড়াও তো!,দাড়া দে !
মনে হচ্ছে জিউস আর একজনকেও হাসপাতালে পাঠিয়ে দিলো।,মনে অর জিউস আর একজনরে ও হাসপাতালত পাদে দিলো।
রেফারি ম্যাট জাইগার রিং এ প্রবেশ করছে আর কাউন্টডাউন শুরু করছে।,রেফারি ম্যাট জাইগার রিং এ ঢুগের আর কাউন্টডাউন শুরু অইএ ।
ওঠ!,উঠ!
পুশ আপ! স্টান্ড আপ!,পুশ আপ! স্টান্ড আপ!
কিন্ত দেখো দেখো ! ছোট্ট রোবটটা দাড়াচ্ছে জিউসের কাছ থেকে আর একটা থাপ্পড় খাওয়ার জন্যে!,"হালিক চাদে চাদে , চিগোন রোবটতু আর দাড়ার জিউস অত্তুন আরেক্কো চুগোর হেবাত্তাই ।"
এটম দ্বিতীয়বারের জন্য মাটিতে । ১০ সেকেন্ডের মধ্যেই।,"এটম দ্বিতীয়বার মাদিত ,১০ সেকেন্ডর মধ্যেই ।"
- জিউস অনেক শক্তিশালী!,- জিউস বজমান শক্তিশালী!
- খেল দেখা মামা!,- খেল দেগা মামা!
ওঠো আর লড়াই করো! ওঠো!,উঠ আর লড়াই গর ! উঠ!
প্লিজ এটম!,প্লিজ এটম!
ওঠো! ওঠো!,উঠ ! উঠ !
ওঠো! ওঠো!,উঠ! উঠ!
আরো একবার চ্যালেঞ্জার পায়ে দাড়াতে সক্ষম হলো!,আরো একবার চ্যালেঞ্জার টেঙ্গোই দারে পারিলো !
লিন ব্যাক!,লিন ব্যাক!
এটমকে মারতে মারতে কর্নারে নিয়ে যাওয়া হচ্ছে!,এটমকে মারতে মারতে কর্নারে নেযাদন !
- ওখান থেকে সরো ! এটম!,"-সিয়ত্তুন সর , এটম!"
- সর ! এটম ! সর!,"- সর, এটম, সর!"
ওহ ভিতরে তো ধ্বংসলীলা শুরু হয়ে গেছে।,উহ বিদিরি দ ধ্বংসলীলা শুরু ওই যিয়েগোই ।
হাত তোল!,আত্তান তোল!
হাত উপরে!,আত্তান উগুরে!
ওই পিচ্চিরে ধ্বংস করে দে! কর্নার থেকে সরো!,ওই গুরোবুরে ধ্বংস গুরি দে ! কর্নার অত্তুন সর!
চার্লি কেন্টন।,চার্লি কেন্টন।
মরিয়া হয়ে চেষ্ঠা করছেন তাররোবটকেসুইসাইডকর্নারথেকে সরানোর।,মরে সং চেষ্টা গরের তা রোবটতুরে সুইসাইড কর্নার অত্তুন সরেবার ।
নিজের পায়ে দাড়া।,নিজর টেঙ্গোই দাড়া।
"শুভ রাত্রি, স্পেয়ারিং রোবট!","শুভ রাত্রি, স্পেয়ারিং রোবট!"
জিউস হয়তো একটু বেশী সময় নিয়েছে ! কিন্তু অবশেষে করে দেখালো!,"জিউস হয়তো এক্কা বেশী সময় নিইয়ে, শেষ পজ্জন্ত গুরি দেগেল !"
এটম তৃতীবার এবং সম্ভবত শেষবারের জন্য মাটিতে।,"এটম তৃতীবার আর ,সম্ভবত শেষবারের মত মাদিত ।"
স্টান্ড আপ!,স্টান্ড আপ!
দুই!ওঠ!,দুই!ওঠ!
তিন!,তিন!
কাম ওন ! এটম ! ওঠ!,"কাম ওন, এটম, ওঠ!"
ওঠ । এটম।,"ওঠ, এটম।"
ওঠ । এটম।,"ওঠ, এটম।"
ছয়!,ছয়!
সাত!,সাত!
ওঠ! আট!,ওঠ! আট!
নয়!,নয়!
আমার তো বিশ্বাসই হচ্ছে না!,মর দ বিশ্বাসই নঅর !
এত মার খাওয়ার পরো এটম নিজের পায়ে!,এম্বা মের হানার পর ও এটম নিজর পায়ে!
কাম অন ! এটম!,"কাম অন, এটম!"
ও এসব সামলাতে পারবে না!,ও ইয়ানি সামলাতে ন পারিবো !
কিছু করো ! চার্লি!,"হিজু গর , চার্লি!"
রাইট আপারকাট!,রাইট আপারকাট!
এটম একটা ঘুষি মারলো!,এটম এক্কু ঘুষি মারি লো!
জিউস পুরা থ' হয়ে গেছে! এধরনের আপারকাট খেয়ে! ও যেনো দেখতেই পারেনি কি হলো!,জিউস দ পুরো থ ' ওই যিয়েগোই ! এদক্কি আপারকাট হেনেই ! তে যেনো নদেগেই হি অইয়ে !
এডভান্স!,এডভান্স!
ফেড ব্যাক ! কাউন্টার রাইট!,"ফেড ব্যাক, কাউন্টার রাইট!"
ফেড ব্যাক ! কাউন্টার রাইট!,"ফেড ব্যাক, কাউন্টার রাইট!"
রাইট ক্রস! রাইট ক্রস! রাইট ক্রস!,রাইট ক্রস! রাইট ক্রস! রাইট ক্রস!
- কি হচ্ছে! ধরো ওকে!,- হি অত্তে ! ধর তারে !
- ওরে গুড়িয়ে দাও!,- তারে গুড়িয়ে দে !
এত দিনের মহান যাত্রায় ! এই প্রথম জিউস একজনের দেখা পেলো ! যে মার ফেরত দিতেও জানে!,"এদক দিনর মহান যাত্রাত , এই পত্তম জিউস একজনের দেগা পেলো, যে মের ফেরত ও দি পারে"
দর্শক তো পাগল হয়ে গেছে!,দর্শক দ পাগল ওই যিয়োন !
জিউস তার সবকিছু দিয়ে চেষ্টা করছে।,জিউস তা বেক্কানি দিনেই চেষ্টা গরের ।
যখন প্রথম রাউন্ড শেষের আর মাত্র ১৫ সেকেন্ড বাকি আছে!,যেক্কে পত্তম রাউন্ড শেষের আর বলে ১৫ সেকেন্ড বাকি আগে!
জিউস এটমকে কোনায় নিয়ে গেলো ! দুই হাত দিয়ে মারা শুরু করলো এবার!,"জিউস এটমরে কোনাত নেযেল , দি আত্ত দিনেই মারা শুরু গুরিলো এবার !"
উপর-নিচ ! উপর-নিচ ! যখন ঘড়ির কাটা শেষ প্রান্তে!,"উপর-নিচ, উপর-নিচ, যেক্কে ঘড়ির কাটা সেজদি !"
হ্যান্ডস আপ । চিন ডাউন।,"হ্যান্ডস আপ, চিন ডাউন।"
নিচু হও ! নিচু হও!,"গুজং অ , গুজং অ !"
মাত্র পাঁচ সেকেন্ড বাকি আর এবার চ্যাম্পের কাছ থেকে আসছে ! মনস্ট্রার পিস্টন প্যাকড!,"বলে বলে সেকেন্ড বাকি আর এবার চ্যাম্পত্তুন এইচ্ছে , মনস্ট্রার পিস্টন প্যাকড!"
ঘন্টা বেজে গেলো!,ঘন্টা বেজে গেলো!
আমি বিশ্বাস করতে পারছি না!,মুই বিশ্বেজ গুরি নপারঙর !
এটম বেচে গেছে।আমরা পেরেছি!,এটম বেচে গেছে।আমি পেরেছি!
ইয়াহ!একটু পরেই দ্বিতীয় রাউন্ড শুরু হবে। আর দর্শকও থ্রীলড!,ইয়াহ!এক্কা পরেই দ্বিতীয় রাউন্ড শুরু অবহ। আর দর্শককুনও থ্রীলড!
ও বেচে গেছে! হুম!,তে বাচি যিয়ে ! হুম!
কর্নার!,কর্নার!
আমাদের এখনি এখান থেকে যেতে হবে। এখনি যেতে হবে।,আমার ইক্কি ইউত্তুন যা পরিবু । ইক্কি যা পরিবু ।
এই দিকে! এই দিকে! যাও যাও যাও!,এই দিকে! এই দিকে! যা যা যাও!
আচ্ছা । এখানে বসে পরো।,"আচ্ছা, ইয়ুত বস ।"
- চল দেখি । বয়রা।,"- যেই চেইওই , বয়রা।"
- আচ্ছা ! আচ্ছা!,"- আচ্ছা, আচ্ছা!"
আমি তোমার জন্য ফিরে আসবো সোনা।,মুই তরতেও ফিরি এম সোনা।
সর ! হাত সরা আমার উপর থেকে!,"সর, আত্তান সরা মর উগুরেত্তুন"
উভয় কর্নারই দুই রোবটদের ক্রোধের মুখে!,দুওবু কর্নার রোবটদের ক্রোধের মুয়োত!
বলে রাখছি। টিম আজ এই ভীড় শুধু নৃশংসতাই দেখতে এসেছে।,হোই রাগাঙর । টিম এচ্যে এই ভীড় বানা নৃশংসতাই চেবাত্তাই এইচ্ছে।
- হয়েছে?হ্যা।,- অইএ?অদে।
বেশ তাহলে । চলো।,"অইএ সালে , যেই ।"
কি হচ্ছে এসব?,হি অর ইয়ানি ?
সে সকল সম্ভাব্য আক্রমনের জন্য প্রস্তুত। ওর কিছু হবে না।,তে বেক সম্ভাব্য আক্রমনত্তাই জুক্কুলেইএ আগে । তা হিজু ন অব ।
এর পরে কি?,এর পরে হি ?
দ্বিতীয় রাউন্ড।,দ্বিতীয় রাউন্ড।
রাউন্ড দুই শুরু । আর অবিশ্বাস্যভাবে । এটম । চ্যাম্পকে দৌড় করিয়েই ছাড়ছে।,"রাউন্ড দুই শুরু, আর অবিশ্বাস্যভাবে, এটম, চ্যাম্পরে লোরে নেযার ।"
জিউস ক্যানের মত করে ছোট্ট এটমকে উড়িয়ে ফেলে দিলো!,জিউস ক্যানের দোক্কেন গরি চিগোন এটমরে উড়ে ফেলে দিলো!
কেন্টন পুর্ন শক্তি দিয়ে চ্যাম্পের চেহাড়ায় কষাঘাত করছে!,কেন্টন বেক শক্তি দিনেই দিনেই চ্যাম্পের চেহাড়াত জুরে আঘাত গুজ্জে !
প্রতিরক্ষার ধরন দেখে জিউসের অবস্থা শোচনীয়!,প্রতিরক্ষার ধরন চেনেই জিউসের অবস্থা শোচনীয়!
